Paper	Outlet	Year	PaperID	Empirical Exp./Analysis	human?	"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)"	Explanation	Task (to evaluate whether aggregation makes sense or not)
A case study on bypass testing of web applications	EMSE	2014	EMSE14_1	yes	no			
An evaluation of the statistical convertibility of Function Points into COSMIC Function Points	EMSE	2014	EMSE14_10	yes	no			
An experimental evaluation of the importance of randomness in hill climbing searches applied to software engineering problems	EMSE	2014	EMSE14_11	yes	no			
An experimental investigation on the effects of context on source code identifiers splitting and expansion	EMSE	2014	EMSE14_12	yes	yes	a	average values or sums	split and expand identifiera
An industrial study of applying input space partitioning to test financial calculation engines 	EMSE	2014	EMSE14_13	yes	no			
Are test cases needed? Replicated comparison between exploratory and test-case-based software testing	EMSE	2014	EMSE14_14	yes	yes	a	number of defects was added	defect detection, comparison of two techniques
Assessing the capability of code smells to explain maintenance problems: an empirical study combining quantitative and qualitative data	EMSE	2014	EMSE14_15	yes	yes	na	purely qualitative	
Automating extract class refactoring: an improved method and its evaluation	EMSE	2014	EMSE14_16	yes	yes	a	average rating	subjects rated the appropriateness of refractorings
AutoRELAX: automatically RELAXing a goal model to address uncertainty	EMSE	2014	EMSE14_17	yes	no			
Bug characteristics in open source software	EMSE	2014	EMSE14_18	yes	no			
Challenges and industry practices for managing software variability in small and medium sized enterprises	EMSE	2014	EMSE14_19	yes	yes	na	purely qualitative	
A family of experiments to assess the effectiveness and efficiency of source code obfuscation techniques	EMSE	2014	EMSE14_2	yes	yes	a	number of errors and mean response times	implementation tasks
Challenges and practices in aligning requirements with verification and validation: a case study of six companies	EMSE	2014	EMSE14_20	yes	yes	na	interviews	
Comprehensibility of UML-based software product line specifications	EMSE	2014	EMSE14_21	yes	yes	a	sum of scores of each question	15 comprehension questions
Conducting quantitative software engineering studies with Alitheia Core	EMSE	2014	EMSE14_22	yes	no			
Configuring latent Dirichlet allocation based feature location	EMSE	2014	EMSE14_23	yes	no			
Contributions of model checking and CoFI methodology to the development of space embedded software	EMSE	2014	EMSE14_24	yes	yes	na	experts were recruited to develop software to be tested with new approach	
Correlations between bugginess and time-based commit characteristics	EMSE	2014	EMSE14_25	yes	no			
Data collection in global software engineering research: learning from past experience	EMSE	2014	EMSE14_26	yes	yes	na	purely qualitative and methodological	
Effectiveness for detecting faults within and outside the scope of testing techniques: an independent replication	EMSE	2014	EMSE14_27	yes	yes	both		fault localization in software systems
Empirical study on the maintainability of Web applications: Model-driven Engineering vs Code-centric	EMSE	2014	EMSE14_28	yes	yes	a	sum/number of tasks per hour	10 maintainability tasks, 5 per treatment
Evolving robust networks for systems-of-systems: is it viable for large networks?	EMSE	2014	EMSE14_29	yes	no			
A flexible method to estimate the software development effort based on the classification of projects and localization of comparisons	EMSE	2014	EMSE14_3	yes	no			
