Subject;PL;Task;Time
1;J;CIT;555.4
2;J;CIT;650
3;J;CIT;422.4
4;J;CIT;335.4
5;J;CIT;306.4
6;J;CIT;423
7;J;CIT;507.6
8;J;CIT;389.8
9;J;CIT;503.4
10;J;CIT;947.8
11;J;CIT;374.4
12;J;CIT;551.8
13;J;CIT;345.8
14;J;CIT;481.6
15;J;CIT;412.8
16;J;CIT;287
17;J;CIT;666.4
18;G;CIT;714.6
19;G;CIT;1309.8
20;G;CIT;1082.2
21;G;CIT;851.8
22;G;CIT;1477.6
23;G;CIT;728.8
24;G;CIT;1165.4
25;G;CIT;907.2
26;G;CIT;593.8
27;G;CIT;1039.4
28;G;CIT;1202.8
29;G;CIT;1284.2
30;G;CIT;980.8
31;G;CIT;950.2
32;G;CIT;1187.4
33;G;CIT;925.2
1;J;SEFT;655
2;J;SEFT;382
3;J;SEFT;298.5
4;J;SEFT;158.5
5;J;SEFT;115.5
6;J;SEFT;131.5
7;J;SEFT;287.5
8;J;SEFT;361
9;J;SEFT;791
10;J;SEFT;654
11;J;SEFT;177.5
12;J;SEFT;1599.5
13;J;SEFT;343.5
14;J;SEFT;392.5
15;J;SEFT;511.5
16;J;SEFT;358
17;J;SEFT;230.5
18;G;SEFT;130
19;G;SEFT;498
20;G;SEFT;229
21;G;SEFT;248.5
22;G;SEFT;292
23;G;SEFT;662
24;G;SEFT;493
25;G;SEFT;183
26;G;SEFT;169.5
27;G;SEFT;329.5
28;G;SEFT;1846.5
29;G;SEFT;714
30;G;SEFT;176
31;G;SEFT;485
32;G;SEFT;436
33;G;SEFT;336.5
1;J;TEFT;133.5
2;J;TEFT;118
3;J;TEFT;143
4;J;TEFT;83.5
5;J;TEFT;72
6;J;TEFT;66
7;J;TEFT;191
8;J;TEFT;133
9;J;TEFT;234
10;J;TEFT;203
11;J;TEFT;126.5
12;J;TEFT;194.5
13;J;TEFT;186.5
14;J;TEFT;335
15;J;TEFT;142.5
16;J;TEFT;95
17;J;TEFT;87.5
18;G;TEFT;611
19;G;TEFT;961
20;G;TEFT;936.5
21;G;TEFT;524
22;G;TEFT;819.5
23;G;TEFT;1470
24;G;TEFT;1167
25;G;TEFT;554.5
26;G;TEFT;382
27;G;TEFT;746.5
28;G;TEFT;2425
29;G;TEFT;1424.5
30;G;TEFT;1244.5
31;G;TEFT;770
32;G;TEFT;1158.5
33;G;TEFT;991
