Subject;PL;Task;Time
1;J;CIT1;286
2;J;CIT1;233
3;J;CIT1;382
4;J;CIT1;124
5;J;CIT1;146
6;J;CIT1;413
7;J;CIT1;522
8;J;CIT1;170
9;J;CIT1;502
10;J;CIT1;621
11;J;CIT1;166
12;J;CIT1;288
13;J;CIT1;153
14;J;CIT1;321
15;J;CIT1;411
16;J;CIT1;271
17;J;CIT1;459
18;G;CIT1;252
19;G;CIT1;227
20;G;CIT1;684
21;G;CIT1;512
22;G;CIT1;2179
23;G;CIT1;575
24;G;CIT1;943
25;G;CIT1;1620
26;G;CIT1;358
27;G;CIT1;886
28;G;CIT1;2124
29;G;CIT1;556
30;G;CIT1;325
31;G;CIT1;563
32;G;CIT1;856
33;G;CIT1;339
1;J;CIT2;432
2;J;CIT2;567
3;J;CIT2;308
4;J;CIT2;214
5;J;CIT2;215
6;J;CIT2;301
7;J;CIT2;293
8;J;CIT2;209
9;J;CIT2;313
10;J;CIT2;1169
11;J;CIT2;313
12;J;CIT2;669
13;J;CIT2;196
14;J;CIT2;275
15;J;CIT2;286
16;J;CIT2;193
17;J;CIT2;700
18;G;CIT2;322
19;G;CIT2;386
20;G;CIT2;419
21;G;CIT2;295
22;G;CIT2;1265
23;G;CIT2;439
24;G;CIT2;1042
25;G;CIT2;508
26;G;CIT2;677
27;G;CIT2;739
28;G;CIT2;756
29;G;CIT2;1308
30;G;CIT2;349
31;G;CIT2;669
32;G;CIT2;1085
33;G;CIT2;1354
1;J;CIT3;663
2;J;CIT3;1163
3;J;CIT3;425
4;J;CIT3;418
5;J;CIT3;414
6;J;CIT3;520
7;J;CIT3;579
8;J;CIT3;468
9;J;CIT3;470
10;J;CIT3;846
11;J;CIT3;432
12;J;CIT3;612
13;J;CIT3;535
14;J;CIT3;793
15;J;CIT3;381
16;J;CIT3;320
17;J;CIT3;659
18;G;CIT3;1055
19;G;CIT3;2169
20;G;CIT3;2433
21;G;CIT3;1093
22;G;CIT3;1411
23;G;CIT3;1054
24;G;CIT3;1566
25;G;CIT3;869
26;G;CIT3;591
27;G;CIT3;1581
28;G;CIT3;932
29;G;CIT3;1419
30;G;CIT3;1475
31;G;CIT3;1513
32;G;CIT3;723
33;G;CIT3;883
1;J;CIT4;812
2;J;CIT4;675
3;J;CIT4;432
4;J;CIT4;536
5;J;CIT4;323
6;J;CIT4;367
7;J;CIT4;473
8;J;CIT4;576
9;J;CIT4;858
10;J;CIT4;1039
11;J;CIT4;511
12;J;CIT4;526
13;J;CIT4;344
