"Code","taskID","taskSeqNum","patterns","correctness","MUC1","MUC2","MUC3","MUC4","MUC5","ncovered"
"AXYKT","B",6,"Y",1,1,1,0,1,1,4
"AXYKT","C",3,"N",1,1,1,0,0,0,2
"AXYKT","D",4,"N",2,1,1,1,0,0,3
"AXYKT","E",5,"Y",1,1,1,1,0,1,4
"AXYKT","F",2,"N",1,1,1,1,1,1,5
"AXYKT","G",7,"Y",1,1,1,1,0,1,4
"BEDXN","B",4,"N",1,1,1,1,0,1,4
"BEDXN","C",6,"Y",2,1,0,1,0,0,2
"BEDXN","D",7,"Y",0,1,1,0,0,1,3
"BEDXN","E",2,"N",1,1,1,1,1,0,4
"BEDXN","F",5,"Y",2,1,1,1,1,0,4
"BEDXN","G",3,"N",0,0,0,0,0,0,0
"CFKYC","B",2,"N",2,1,1,0,0,1,3
"CFKYC","C",5,"Y",1,0,0,0,0,0,0
"CFKYC","D",6,"Y",2,1,0,1,1,1,4
"CFKYC","E",4,"N",1,1,1,1,0,0,3
"CFKYC","F",3,"N",1,1,0,0,0,0,1
"CFKYC","G",7,"Y",2,1,1,0,0,1,3
"CNXLT","B",5,"Y",2,1,1,1,0,1,4
"CNXLT","C",7,"Y",1,0,0,0,1,1,2
"CNXLT","D",2,"N",1,1,0,1,0,0,2
"CNXLT","E",3,"N",1,1,1,0,0,0,2
"CNXLT","F",6,"Y",1,1,1,1,0,0,3
"CNXLT","G",4,"N",0,0,0,0,0,0,0
"DAWMU","B",6,"Y",1,1,1,1,1,1,5
"DAWMU","C",3,"N",0,0,0,0,0,0,0
"DAWMU","D",4,"N",2,0,0,1,0,0,1
"DAWMU","E",2,"N",1,1,1,0,0,0,2
"DAWMU","F",7,"Y",2,1,1,1,1,1,5
"DAWMU","G",5,"Y",1,1,0,0,0,0,1
"DPAPR","B",3,"N",2,1,1,1,0,0,3
"DPAPR","C",4,"N",1,0,0,1,0,0,1
"DPAPR","D",6,"Y",1,0,0,1,0,0,1
"DPAPR","E",5,"Y",2,1,1,1,1,0,4
"DPAPR","F",7,"Y",1,0,0,0,0,0,0
"DPAPR","G",2,"N",2,1,1,1,1,1,5
"DSSTT","B",7,"Y",1,1,1,1,1,0,4
"DSSTT","C",3,"N",0,0,0,0,0,0,0
"DSSTT","D",5,"Y",2,1,1,0,1,1,4
"DSSTT","E",4,"N",1,1,1,1,1,0,4
"DSSTT","F",2,"N",1,1,1,1,0,1,4
"DSSTT","G",6,"Y",1,1,1,0,1,0,3
"DYDEX","B",7,"Y",2,1,1,0,1,1,4
"DYDEX","C",2,"N",0,0,0,0,0,0,0
"DYDEX","D",4,"N",1,0,1,0,0,0,1
"DYDEX","E",5,"Y",2,1,1,0,1,0,3
"DYDEX","F",3,"N",0,0,0,0,0,0,0
"DYDEX","G",6,"Y",2,1,0,0,0,0,1
"EBLBV","B",6,"Y",2,1,1,1,0,0,3
"EBLBV","C",5,"Y",1,1,0,0,0,0,1
"EBLBV","D",2,"N",0,0,0,0,0,0,0
"EBLBV","E",3,"N",1,1,1,0,0,0,2
"EBLBV","F",4,"N",1,1,1,1,0,0,3
"EBLBV","G",7,"Y",2,1,1,1,0,0,3
"FJVQW","B",3,"N",1,1,1,1,0,0,3
