TeamNb;Group;Task;Time
2;1;B;521
5;1;B;612
9;1;B;1004
10;1;B;3654
11;1;B;901
16;1;B;990
17;1;B;2059
18;1;B;1142
19;1;B;2257
21;1;B;1672
24;1;B;553
27;1;B;1601
28;1;B;642
29;1;B;322
30;1;B;3805
33;1;B;341
34;1;B;1704
36;1;B;1468
39;1;B;3779
46;1;B;2272
47;1;B;3118
5;1;C;998
9;1;C;605
10;1;C;719
11;1;C;1878
16;1;C;299
17;1;C;579
18;1;C;887
19;1;C;921
21;1;C;1401
24;1;C;2631
27;1;C;712
28;1;C;619
29;1;C;0
30;1;C;1339
32;1;C;1400
33;1;C;691
34;1;C;1873
36;1;C;2503
39;1;C;0
46;1;C;1062
47;1;C;2064
2;1;D;2660
5;1;D;459
9;1;D;1366
10;1;D;3734
11;1;D;3036
16;1;D;758
17;1;D;1054
18;1;D;1163
19;1;D;1231
21;1;D;1709
24;1;D;4160
27;1;D;1493
28;1;D;1070
29;1;D;2081
30;1;D;3644
32;1;D;1995
33;1;D;1220
34;1;D;1256
39;1;D;0
46;1;D;1284
47;1;D;2842
2;1;E;1604
5;1;E;919
9;1;E;905
10;1;E;565
11;1;E;1911
16;1;E;679
17;1;E;990
18;1;E;479
19;1;E;650
21;1;E;2711
24;1;E;2478
27;1;E;1470
28;1;E;300
29;1;E;1758
30;1;E;1683
32;1;E;2896
33;1;E;678
34;1;E;1346
36;1;E;800
39;1;E;3236
47;1;E;769
1;2;B;2673
3;2;B;693
6;2;B;639
7;2;B;576
8;2;B;684
12;2;B;1417
14;2;B;818
15;2;B;938
20;2;B;0
22;2;B;1085
23;2;B;4664
25;2;B;3002
26;2;B;3249
31;2;B;724
35;2;B;1543
37;2;B;0
38;2;B;1064
40;2;B;680
41;2;B;1000
42;2;B;1418
43;2;B;1061
44;2;B;3643
45;2;B;1278
1;2;C;2232
3;2;C;641
6;2;C;1082
7;2;C;2443
8;2;C;2014
12;2;C;785
14;2;C;848
15;2;C;2847
20;2;C;0
22;2;C;0
23;2;C;0
25;2;C;1134
26;2;C;2599
31;2;C;1801
35;2;C;318
37;2;C;1887
38;2;C;1782
40;2;C;2294
41;2;C;1495
42;2;C;3093
43;2;C;1830
44;2;C;1361
45;2;C;481
1;2;D;4201
3;2;D;634
6;2;D;1106
8;2;D;1095
12;2;D;1668
14;2;D;2526
15;2;D;1508
20;2;D;2555
22;2;D;1445
23;2;D;1865
25;2;D;0
26;2;D;3040
31;2;D;2663
35;2;D;3152
37;2;D;846
38;2;D;2248
40;2;D;1818
41;2;D;3682
42;2;D;1412
43;2;D;3159
44;2;D;1145
45;2;D;2526
1;2;E;0
3;2;E;442
7;2;E;2020
8;2;E;1210
12;2;E;2234
14;2;E;1114
15;2;E;474
20;2;E;14465
22;2;E;3847
23;2;E;2898
25;2;E;2702
35;2;E;1998
37;2;E;937
38;2;E;1238
40;2;E;979
41;2;E;2173
42;2;E;1002
43;2;E;2126
44;2;E;2279
45;2;E;943
