Subject;PL_Round1;PL_Round2;CIT1_R1;CIT1_R2;CIT2_R1;CIT2_R2;CIT3_R1;CIT3_R2;CIT4_R1;CIT4_R2;CIT5_R1;CIT5_R2;TEFT1_R1;TEFT1_R2;TEFT2_R1;TEFT2_R2;SEFT1_R1;SEFT1_R2;SEFT2_R1;SEFT2_R2;CIT_R1;CIT_R2;TEFT_R1;TEFT_R2;SEFT_R1;SEFT_R2
1;G;J;1212;286;463;432;1258;663;1397;812;1021;584;813;197;332;70;3062;1141;174;169;1070.2;555.4;572.5;133.5;1618;655
2;G;J;507;233;892;567;828;1163;950;675;780;612;1009;130;1308;106;2110;554;828;210;791.4;650;1158.5;118;1469;382
3;G;J;886;382;516;308;901;425;1288;432;1060;565;280;206;783;80;492;476;990;121;930.2;422.4;531.5;143;741;298.5
4;G;J;709;124;345;214;696;418;685;536;862;385;263;100;926;67;1117;181;358;136;659.4;335.4;594.5;83.5;737.5;158.5
5;G;J;343;146;578;215;1010;414;537;323;785;434;149;98;273;46;788;104;92;127;650.6;306.4;211;72;440;115.5
6;G;J;563;413;483;301;904;520;602;367;770;514;927;88;1571;44;458;187;420;76;664.4;423;1249;66;439;131.5
7;G;J;568;522;418;293;893;579;663;473;797;671;739;172;1263;210;747;489;170;86;667.8;507.6;1001;191;458.5;287.5
8;G;J;241;170;452;209;1371;468;1621;576;884;526;258;139;510;127;543;583;360;139;913.8;389.8;384;133;451.5;361
9;G;J;2215;502;748;313;799;470;633;858;1838;374;1123;374;812;94;984;1163;684;419;1246.6;503.4;967.5;234;834;791
10;G;J;1169;621;1273;1169;1274;846;1894;1039;1608;1064;747;298;398;108;1707;1015;382;293;1443.6;947.8;572.5;203;1044.5;654
11;G;J;408;166;497;313;1008;432;808;511;812;450;308;116;413;137;1091;281;611;74;706.6;374.4;360.5;126.5;851;177.5
12;G;J;476;288;516;669;2146;612;1422;526;1156;664;847;262;1712;127;1537;2562;471;637;1143.2;551.8;1279.5;194.5;1004;1599.5
13;G;J;1232;153;562;196;611;535;575;344;564;501;1371;129;636;244;407;220;197;467;708.8;345.8;1003.5;186.5;302;343.5
14;G;J;897;321;430;275;1720;793;1266;610;1211;409;1492;240;750;430;841;604;2262;181;1104.8;481.6;1121;335;1551.5;392.5
15;G;J;494;411;742;286;880;381;698;443;844;543;278;169;1186;116;801;350;127;673;731.6;412.8;732;142.5;464;511.5
16;G;J;733;271;682;193;978;320;880;358;832;293;1337;137;277;53;358;626;416;90;821;287;807;95;387;358
17;G;J;1328;459;881;700;976;659;948;719;1248;795;943;78;246;97;337;324;614;137;1076.2;666.4;594.5;87.5;475.5;230.5
18;J;G;483;252;315;322;649;1055;791;803;645;1141;187;772;114;450;1205;153;219;107;576.6;714.6;150.5;611;712;130
19;J;G;562;227;981;386;1038;2169;1212;2505;1016;1262;175;1375;98;547;1930;222;268;774;961.8;1309.8;136.5;961;1099;498
20;J;G;375;684;388;419;941;2433;1127;549;566;1326;563;1558;108;315;584;197;240;261;679.4;1082.2;335.5;936.5;412;229
21;J;G;764;512;558;295;938;1093;3240;1388;740;971;286;550;535;498;1764;377;475;120;1248;851.8;410.5;524;1119.5;248.5
22;J;G;1139;2179;613;1265;574;1411;582;1479;735;1054;344;1202;153;437;2256;417;337;167;728.6;1477.6;248.5;819.5;1296.5;292
23;J;G;479;575;1178;439;1983;1054;1197;818;782;758;900;665;244;2275;2910;1042;1022;282;1123.8;728.8;572;1470;1966;662
24;J;G;1106;943;895;1042;893;1566;1011;997;841;1279;324;730;103;1604;2166;809;927;177;949.2;1165.4;213.5;1167;1546.5;493
25;J;G;914;1620;1051;508;842;869;716;741;732;798;173;728;192;381;787;226;325;140;851;907.2;182.5;554.5;556;183
26;J;G;673;358;1590;677;711;591;650;640;691;703;160;170;102;594;1423;252;177;87;863;593.8;131;382;800;169.5
27;J;G;907;886;1713;739;773;1581;920;600;722;1391;352;732;144;761;1642;330;1458;329;1007;1039.4;248;746.5;1550;329.5
28;J;G;1609;2124;4285;756;1697;932;1541;1036;1514;1166;200;2565;116;2285;2278;2648;1174;1045;2129.2;1202.8;158;2425;1726;1846.5
29;J;G;1007;556;1883;1308;1757;1419;1665;1034;950;2104;268;1845;146;1004;2000;686;880;742;1452.4;1284.2;207;1424.5;1440;714
30;J;G;484;325;735;349;953;1475;626;1851;825;904;210;1118;215;1371;1356;218;320;134;724.6;980.8;212.5;1244.5;838;176
31;J;G;560;563;858;669;1069;1513;781;817;823;1189;258;582;147;958;312;719;2264;251;818.2;950.2;202.5;770;1288;485
32;J;G;651;856;637;1085;1401;723;915;735;1049;2538;348;1565;105;752;1384;639;885;233;930.6;1187.4;226.5;1158.5;1134.5;436
33;J;G;480;339;1437;1354;899;883;720;1004;772;1046;102;1585;170;397;1822;531;1740;142;861.6;925.2;136;991;1781;336.5
