Group;sor;smm;fft;Mittelwert;Summe
FlexJava;2;1;4;2.333333333;7
FlexJava;6;2.5;3;3.833333333;11.5
FlexJava;4;2.5;5;3.833333333;11.5
FlexJava;2;2;2.5;2.166666667;6.5
FlexJava;3;2.5;1;2.166666667;6.5
FlexJava;1;1;1;1;3
FlexJava;2;2;4;2.666666667;8
FlexJava;3;2.5;2.5;2.666666667;8
FlexJava;2;2.5;3;2.5;7.5
FlexJava;3;1;4;2.666666667;8
EnerJ;12;16;15;14.33333333;43
EnerJ;14;16;16;15.33333333;46
EnerJ;15;15;18;16;48
EnerJ;6;7;11;8;24
EnerJ;18;19;19;18.66666667;56
EnerJ;17;25;20;20.66666667;62
EnerJ;16;14;20;16.66666667;50
EnerJ;19;26.4;39.4;28.26666667;84.8
EnerJ;15;24;22;20.33333333;61
EnerJ;17;22;19;19.33333333;58
