Paper;PaperID;Empirical Exp./Analysis;human?;"Averaged or single task? (s: single tasks; a: averaged; na = not applicable)";Explanation;Task (to evaluate whether aggregation makes sense or not)
A case study on bypass testing of web applications;EMSE14_1;yes;no;;;
An evaluation of the statistical convertibility of Function Points into COSMIC Function Points;EMSE14_10;yes;no;;;
An experimental evaluation of the importance of randomness in hill climbing searches applied to software engineering problems;EMSE14_11;yes;no;;;
An experimental investigation on the effects of context on source code identifiers splitting and expansion;EMSE14_12;yes;yes;a;average values or sums;split and expand identifiera
An industrial study of applying input space partitioning to test financial calculation engines ;EMSE14_13;yes;no;;;
Are test cases needed? Replicated comparison between exploratory and test-case-based software testing;EMSE14_14;yes;yes;a;number of defects was added;defect detection, comparison of two techniques
Assessing the capability of code smells to explain maintenance problems: an empirical study combining quantitative and qualitative data;EMSE14_15;yes;yes;na;purely qualitative;
Automating extract class refactoring: an improved method and its evaluation;EMSE14_16;yes;yes;a;average rating;subjects rated the appropriateness of refractorings
AutoRELAX: automatically RELAXing a goal model to address uncertainty;EMSE14_17;yes;no;;;
Bug characteristics in open source software;EMSE14_18;yes;no;;;
Challenges and industry practices for managing software variability in small and medium sized enterprises;EMSE14_19;yes;yes;na;purely qualitative;
A family of experiments to assess the effectiveness and efficiency of source code obfuscation techniques;EMSE14_2;yes;yes;a;number of errors and mean response times;implementation tasks
Challenges and practices in aligning requirements with verification and validation: a case study of six companies;EMSE14_20;yes;yes;na;interviews;
Comprehensibility of UML-based software product line specifications;EMSE14_21;yes;yes;a;sum of scores of each question;15 comprehension questions
Conducting quantitative software engineering studies with Alitheia Core;EMSE14_22;yes;no;;;
Configuring latent Dirichlet allocation based feature location;EMSE14_23;yes;no;;;
Contributions of model checking and CoFI methodology to the development of space embedded software;EMSE14_24;yes;yes;na;experts were recruited to develop software to be tested with new approach;
Correlations between bugginess and time-based commit characteristics;EMSE14_25;yes;no;;;
Data collection in global software engineering research: learning from past experience;EMSE14_26;yes;yes;na;purely qualitative and methodological;
Effectiveness for detecting faults within and outside the scope of testing techniques: an independent replication;EMSE14_27;yes;yes;both;;fault localization in software systems
Empirical study on the maintainability of Web applications: Model-driven Engineering vs Code-centric;EMSE14_28;yes;yes;a;sum/number of tasks per hour;10 maintainability tasks, 5 per treatment
Evolving robust networks for systems-of-systems: is it viable for large networks?;EMSE14_29;yes;no;;;
A flexible method to estimate the software development effort based on the classification of projects and localization of comparisons;EMSE14_3;yes;no;;;
Examination of the software architecture change characterization scheme using three empirical studies;EMSE14_30;yes;yes;a;2 change tasks were compared against each other to evaluate a new tool;implement changes over course of semester
From offshore outsourcing to insourcing and partnerships: four failed outsourcing attempts;EMSE14_31;yes;yes;na;multi case study;
High-MCC Functions in the Linux Kernel;EMSE14_32;yes;yes;a;correlation of perceived complexity with regularity of source code;estimation of complexity
How changes affect software entropy: an empirical study;EMSE14_33;yes;no;;;
Investigating the effects of personality traits on pair programming in a higher education setting through a family of experiments;EMSE14_34;yes;yes;a;grade in exams;tasks throughout the semester
Investigation of individual factors impacting the effectiveness of requirements inspections: a replicated experiment;EMSE14_35;yes;yes;a;number of faults is analyzed;estimation of faults
Labeling source code with information retrieval methods: an empirical study;EMSE14_36;yes;yes;a;average time/sum of labels;tasks to label source code (to give additional information)
Measuring and modeling programming experience;EMSE14_37;yes;yes;a;number of correctly solved tasks;10 program comprehension tasks
MND-SCEMP: an empirical study of a software cost estimation modeling process in the defense domain;EMSE14_38;yes;yes;na;experts were recruited to complement cost estimation of software project;
On the role of tests in test-driven development: a differentiated and partial replication;EMSE14_39;yes;yes;a;number of test cases, external quality over implementations is analyzed;test-first implementation of source code
A replicated quasi-experimental study on the influence of personality and team climate in software development;EMSE14_4;yes;yes;unclear;"no clear definition of tasks; only practical assignment to show the effect of learning";
On the variation and specialisation of workload—A case study of the Gnome ecosystem community;EMSE14_40;yes;no;;;
On using machine learning to automatically classify software applications into domain categories;EMSE14_41;yes;no;;;
Predicting object-oriented class reuse-proneness using internal quality attributes;EMSE14_42;yes;no;;;
Recovering from a decade: a systematic mapping of information retrieval approaches to software traceability;EMSE14_43;yes;no;;;
Replication of empirical studies in software engineering research: a systematic mapping study;EMSE14_44;yes;no;;;
Reporting experiments to satisfy professionals’ information needs;EMSE14_45;yes;yes;na;purely qualitative (card sorting);
Software defect prediction using Bayesian networks;EMSE14_46;yes;no;;;
Software process evaluation: a machine learning framework with application to defect management process;EMSE14_47;yes;yes;a;time, effort, and quality are each discussed based on all projects;software inspection tasks to set the baseline for a machine-learning approach
Static test case prioritization using topic models;EMSE14_48;yes;no;;;
SWordNet: Inferring semantically related words from software context;EMSE14_49;yes;no;;;
Agile vs. structured distributed software development: A case study;EMSE14_5;yes;yes;na;interviews on software development process;
The impact of UML modeling on defect density and defect resolution time in a proprietary system;EMSE14_50;yes;no;;;
Validating differential relationships between risk categories and project performance as perceived by managers;EMSE14_51;yes;no;;;
Variation factors in the design and analysis of replicated controlled experiments;EMSE14_52;yes;both;;;
What are developers talking about? An analysis of topics and trends in Stack Overflow;EMSE14_53;yes;no;;;
An empirical study of control logic specifications for programmable logic controllers;EMSE14_6;yes;no;;;
An empirical study of identifier splitting techniques;EMSE14_7;yes;yes;na;participants are used to create a ground truth;
An empirical study on the impact of static typing on software maintainability;EMSE14_8;yes;yes;s;effects discussed task-wise;10 programming tasks
An empirically based terminology and taxonomy for global software engineering;EMSE14_9;yes;yes;na;10 experts recruited to develop glossary for terms in global software engineering, where terms are used ambiguously;
1600 faults in 100 projects: automatically finding faults while achieving high coverage with EvoSuite;EMSE15_1;yes;no;;;
An experimental investigation comparing individual and collaborative work productivity when using desktop and cloud modeling tools;EMSE15_10;yes;yes;both;time and number of corrections per task, then tasks are summarized in a model;creating, adapting, and sharing models
Are test smells really harmful? An empirical study;EMSE15_11;yes;yes;s;analysis and significance test for each task;"finding test smells; one factor, presence/absence of test smells"
Automated prediction of bug report priority using multi-factor analysis;EMSE15_12;yes;no;;;
Case studies synthesis: a thematic, cross-case, and narrative synthesis worked example;EMSE15_13;yes;no;;;
Charting the API minefield using software telemetry data;EMSE15_14;yes;no;;;
Classification model for code clones based on machine learning;EMSE15_15;yes;yes;a;clone categorization separated by different projects;categorization of whether code pieces are clones or not
Confounding parameters on program comprehension: a literature survey;EMSE15_16;yes;no;;;
Detecting and refactoring code smells in spreadsheet formulas;EMSE15_17;yes;yes;na;developers evaluated whether smells in their own spreadsheets are really smells;
Developer initiation and social interactions in OSS: A case study of the Apache Software Foundation;EMSE15_18;yes;no;;;
Do developers benefit from requirements traceability when evolving and maintaining a software system?;EMSE15_19;yes;yes;task as independent variable;average time and correctness of all tasks;maintenance
A large study on the effect of code obfuscation on the quality of java code;EMSE15_2;yes;no;;;
Do topics make sense to managers and developers?;EMSE15_20;yes;yes;a;sum of agreement/disagreement;rating of automatically generated topics
Empirical evidence on the link between object-oriented measures and external quality attributes: a systematic literature review;EMSE15_21;yes;no;;;
Fault density, fault types, and spectra-based fault localization;EMSE15_22;yes;no;;;
Fostering effective inter-team knowledge sharing in agile software development;EMSE15_23;yes;yes;na;grounded theory;
Green mining: a methodology of relating software change and configuration to power consumption;EMSE15_24;yes;no;;;
HAZOP-based identification of events in use cases;EMSE15_25;yes;yes;a;defined metrics based on the number of identified events and number of steps;identification of events in use cases of a requirements specification document
How product owner teams scale agile methods to large distributed enterprises;EMSE15_26;yes;yes;na;grounded theory;
How the Apache community upgrades dependencies: an evolutionary study;EMSE15_27;yes;no;;;
Link analysis algorithms for static concept location: an empirical assessment;EMSE15_28;yes;yes;both;tasks summarized, but different systems not;concept location
Management of community contributions;EMSE15_29;yes;no;;;
A Large-Scale Empirical Study of the Relationship between Build Technology and Build Maintenance;EMSE15_3;yes;no;;;
Mining software repair models for reasoning on the search space of automated program fixing;EMSE15_30;yes;no;;;
Modelling the ‘hurried’ bug report reading process to summarize bug reports;EMSE15_31;yes;yes;a;average quality of rating;rating of generated bug report summaries
Multi-objective ant colony optimization for requirements selection;EMSE15_32;yes;no;;;
Object-oriented software extensions in practice;EMSE15_33;yes;no;;;
On rapid releases and software testing: a case study and a semi-systematic literature review;EMSE15_34;yes;yes;na;interview with one employee to triangulate automated findings;
Optimising agile development practices for the maintenance operation: nine heuristics;EMSE15_35;yes;yes;na;data collection of every-day work over a year;
Recommending reference API documentation;EMSE15_36;yes;yes;a;sum of estimation of usefulness;estimation of usefulness of KI
Semi-automatic selection of primary studies in systematic literature reviews: is it reasonable?;EMSE15_37;yes;no;;;
Should I follow this fault localization tool’s output?;EMSE15_38;yes;no;;;
Software requirements prioritization and selection using linguistic tools and constraint solvers—a controlled experiment;EMSE15_39;yes;yes;a;"average time; % of correct answers";requirement prioritization and selection
A practical guide to controlled experiments of software engineering tools with human participants;EMSE15_4;yes;no;;;
Studying the relationship between logging characteristics and the code quality of platform software;EMSE15_40;yes;no;;;
Supporting and accelerating reproducible empirical research in software evolution and maintenance using TraceLab Component Library;EMSE15_41;yes;no;;;
The impact of imperfect change rules on framework API evolution identification: an empirical study;EMSE15_42;yes;yes;a;precision of finding replaced methods (number found divided by total number of methods to replace);finding corresponding methods after software update
The kanban approach, between agility and leanness: a systematic review;EMSE15_43;yes;no;;;
Towards a decision-making structure for selecting a research design in empirical software engineering;EMSE15_44;no;no;;;
Towards improving statistical modeling of software engineering data: think locally, act globally!;EMSE15_45;yes;no;;;
Transfer learning in effort estimation;EMSE15_46;yes;no;;;
UML model refactoring: a systematic literature review;EMSE15_47;yes;no;;;
Understanding the impact of rapid releases on software quality;EMSE15_48;yes;no;;;
Understanding the Influence of User Participation and Involvement on System Success – a Systematic Mapping Study;EMSE15_49;yes;no;;;
Achieving scalable mutation-based generation of whole test suites;EMSE15_5;yes;no;;;
Visual GUI testing in practice: challenges, problemsand limitations;EMSE15_50;yes;yes;na;observed effect of new with automatically collected data;
An elicitation instrument for operationalising GQM+Strategies (GQM+S-EI);EMSE15_6;yes;no;;;
An empirical comparison of model-based and capture and replay approaches for performance testing;EMSE15_7;yes;yes;both;3 different kinds of tasks, too different for aggregation?;
An empirical study on the importance of source code entities for requirements traceability;EMSE15_8;yes;yes;a;average fixation times per source code entity;verification tasks
An experiment on the effectiveness and efficiency of exploratory testing;EMSE15_9;yes;yes;a;sum of defects in fixed length session;testing session to find defects
An empirical study of software release notes;EMSE2016_1;yes;no;;;
Breathing ontological knowledge into feature model synthesis: an empirical study;EMSE2016_10;yes;no;;;
Assessing the impact of real-time machine translation on multilingual meetings in global software projects;EMSE2016_11;yes;yes;s, but tasks are too different to be combined;Controlled study with real-time ML translations, two types of tasks;Requirements, release planning discussions
Code clones and developer behavior: results of two surveys of the clone research community;EMSE2016_12;yes;yes;na;Surveys;
A survey on the use of topic models when mining software repositories;EMSE2016_13;yes;no;;;
On the detection of custom memory allocators in C binaries;EMSE2016_14;yes;no;;;
Perspectives on refactoring planning and practice: an empirical study;EMSE2016_15;yes;yes;na;survey;
Development nature matters: An empirical study of code clones in JavaScript applications;EMSE2016_16;yes;no;;;
Weighing lexical information for software clustering in the context of architecture recovery;EMSE2016_17;yes;no;;;
A field study of how developers locate features in source code;EMSE2016_18;yes;no?;;Indirect human study: analyzed logs of IDE and search behavior;
What Java developers know about compatibility, and why this matters;EMSE2016_19;yes;yes;na;survey;
An empirical study of integration activities in distributions of open source software;EMSE2016_2;yes;yes;na;Feedback from three maintainers, only a tiny part;
Does the level of detail of UML diagrams affect the maintainability of source code?: a family of experiments;EMSE2016_20;yes;yes;av;Family of experiments: how UML aids comprehensibility/modifiabilty, two systems with multiple tasks;
Experimentation with dynamic simulation models in software engineering: planning and reporting guidelines;EMSE2016_21;yes;no;;;
Continuously mining distributed version control systems: an empirical study of how Linux uses Git;EMSE2016_22;yes;no;;;
Assessing refactorings for usability in e-commerce applications;EMSE2016_23;yes;yes;s;Analysis and dicsussion on the effect of individual refactoring tasks (in this case probably necessary);Various refactoring task for higher usability
Exploring the costs of technical debt management – a case study;EMSE2016_24;yes;no;;;
Game of detections: how are security vulnerabilities discovered in the wild?;EMSE2016_25;yes;yes;na;survey;
Scalable data structure detection and classification for C/C++ binaries;EMSE2016_26;yes;no;;;
The impact of tangled code changes on defect prediction models;EMSE2016_27;yes;no;;;
A contextual approach towards more accurate duplicate bug report detection and ranking;EMSE2016_28;yes;no;;;
Preprocessor-based variability in open-source and industrial software systems: An empirical study;EMSE2016_29;yes;no;;;
Improving the performance of OCL constraint solving with novel heuristics for logical operations: a search-based approach;EMSE2016_3;yes;no;;;
Evaluating the impact of design pattern and anti-pattern dependencies on changes and faults;EMSE2016_30;yes;no;;;
Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts;EMSE2016_31;yes;no;;;
An in-depth study of the promises and perils of mining GitHub;EMSE2016_32;yes;no;;;
Studying just-in-time defect prediction using cross-project models;EMSE2016_33;yes;no;;;
Automatic identifier inconsistency detection using code dictionary;EMSE2016_34;yes;yes;na;interview, only part of the study;
Archetypal personalities of software engineers and their work preferences: a new perspective for empirical studies;EMSE2016_35;yes;no;;;
An automated software reliability prediction system for safety critical software;EMSE2016_36;yes;yes;both;"Tool evaluation, multiple ""tests"" with subtasks, discussion based on tests; 2 different tasks (small and large) per condition, but each task consisted of different number of test units)";reading software requirements specification, mapping defect to original, assessing software reliability (Sec. 10.3.3)
Mining architectural violations from version history;EMSE2016_37;yes;no;;;
An empirical study of the textual similarity between source code and source code summaries;EMSE2016_38;yes;yes;na;questionnaire;
Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews;EMSE2016_39;yes;no;;;
Empirical assessment of machine learning-based malware detectors for Android;EMSE2016_4;yes;no;;;
Fresh apps: an empirical study of frequently-updated mobile apps in the Google play store;EMSE2016_40;yes;no;;;
An empirical study of the impact of modern code review practices on software quality;EMSE2016_41;yes;no;;;
Studying high impact fix-inducing changes;EMSE2016_42;yes;no;;;
On the use of many quality attributes for software refactoring: a many-objective search-based software engineering approach;EMSE2016_43;yes;no;;;
Open innovation in software engineering: a systematic mapping study;EMSE2016_44;yes;no;;;
