Group;Values
1;0.333333333
1;0.071428571
1;0.1
1;0.045454545
1;0.142857143
1;0.125
1;0.333333333
1;0.222222222
1;0.090909091
1;0.090909091
1;0.090909091
1;0.181818182
1;0.071428571
1;0.25
1;0.047619048
1;0.111111111
1;0.03030303
1;0.083333333
1;0.222222222
2;0.166666667
2;0.142857143
2;0.5
2;0.666666667
2;0.125
2;0.333333333
2;0.4
2;0.333333333
2;0.125
2;1
2;0.133333333
2;0.5
2;0.230769231
2;0.666666667
2;0.2
2;0
2;0.5
2;0.4
2;0.5
2;0.133333333
2;0.333333333
2;0.142857143
2;0.142857143
1;0.068965517
1;0.076923077
1;0.2
1;0.166666667
1;0.2
1;0.090909091
1;0.111111111
1;0.066666667
1;0.2
1;0.076923077
1;0.142857143
1;0.037037037
1;0.2
1;0.066666667
1;0.111111111
1;0.1
1;0.034482759
1;0.057142857
1;0.1
1;0.071428571
2;0.285714286
2;0.333333333
2;0.111111111
2;0.1875
2;0.043478261
2;0.428571429
2;0.2
2;0.25
2;0.4
2;0.222222222
2;0.4
2;0.2
2;0.142857143
2;0.428571429
2;0.2
2;0.307692308
2;0.142857143
2;0.25
2;0.285714286
2;0.05
2;0.166666667
2;0.2
2;0.25
1;0.222222222
1;0.166666667
1;0.1875
1;0.125
1;0.08
1;0.111111111
1;0.071428571
1;0.047619048
1;0.25
1;0.166666667
1;0.125
1;0.2
1;0.08
1;0.058823529
1;0.047619048
1;0.181818182
1;0.028571429
1;0.333333333
1;0.166666667
2;0.375
2;0.111111111
2;0.125
2;0.035714286
2;0.058823529
2;0.153846154
2;0.1
2;0.222222222
2;0.090909091
2;0.142857143
2;0.181818182
2;0.0625
2;0.090909091
2;0.25
2;0.153846154
2;0.090909091
2;0.230769231
2;0.076923077
2;0.214285714
2;0.25
2;0.052631579
1;0.3
1;0.076923077
1;0.105263158
1;0.333333333
1;0.5
1;0.166666667
1;0.166666667
1;0.166666667
1;0.0625
1;0.055555556
1;0.111111111
1;0.095238095
1;0.5
1;0.153846154
1;0.1
1;0.058823529
1;0.285714286
1;0.071428571
1;0.333333333
1;0.057142857
2;0.066666667
2;0.277777778
2;0.0625
2;0.2
2;0.058823529
2;0.090909091
2;0.047619048
2;0.086956522
2;0.055555556
2;0.125
2;0.066666667
2;0.142857143
2;0.105263158
2;0.111111111
2;0.058823529
2;0.166666667
2;0.15
2;0.066666667
2;0.166666667
2;0
