Group;S;M
color;265;557.5
color;359;648
color;375.5;585.25
color;381.5;439.75
color;375.5;626.5
color;488;719
color;382;664.25
color;145.5;585.75
color;236.5;446.75
color;228.5;915
color;110;773.5
color;238.5;699.25
color;331.5;743.75
color;374;849.25
color;396.5;731.25
color;409;681.25
color;434.5;722.5
color;395;842.75
color;377.5;845.75
color;515.5;712.5
color;583;307
color;361;360.25
ifdef;526;403.75
ifdef;580.5;882.75
ifdef;863.5;278.5
ifdef;467.5;490.5
ifdef;607;604.75
ifdef;767;403
ifdef;490;555.75
ifdef;358.5;290.75
ifdef;545.5;629.25
ifdef;769.5;527.5
ifdef;577.5;542
ifdef;503.5;1001
ifdef;84.5;226.25
ifdef;248;166.75
ifdef;548;816
ifdef;1077;485.5
ifdef;658.5;525.5
ifdef;427.5;327.75
ifdef;606.5;580.75
ifdef;516.5;471.75
ifdef;414;626
